bodyType;brand;color;fuelType;modelDate;name;numberOfDoors;productionDate;vehicleConfiguration;vehicleTransmission;engineDisplacement;enginePower;description;mileage;Комплектация;Привод;Руль;Состояние;Владельцы;ПТС;Таможня;Владение;id;price;model
None;BMW ;белый ;дизель ;F15 (2013—2018) ;30d 3.0 xDrive Steptronic (249 л.с.) ;5;2016;None;автомат ;None;None;None;74850 км ;M Sport ;полный ;левый ;не битый ;3;None;None;None;None;2 790 000;X5 
None;BMW ;серебряный ;бензин ;E60/E61 (2004—2010) ;5.0 AMT (507 л.с.) ;4;2007;None;робот ;None;None;None;155459 км ;Базовая ;задний ;левый ;не битый ;4+ ;None;None;None;None;1 500 000;M5 
None;BMW ;чёрный ;бензин ;E90/E91/E92/E93 рестайлинг (2008—2013) ;325xi 2.5 AT (218 л.с.) ;2;2013;None;автомат ;None;None;None;107167 км ;None;полный ;левый ;не битый ;2;None;None;None;None;998 000;3 серия 
None;BMW ;синий ;бензин ;G14/G15 (2018—н. в.) ;M850i 4.4 xDrive АT (530 л.с.) ;2;2019;None;автомат ;None;None;None;70 км ;Base ;полный ;левый ;не битый ;1;None;None;None;None;8 455 000;8 серия 
None;BMW ;чёрный ;бензин ;G01 (2017—н. в.) ;20i 2.0 xDrive Steptronic (184 л.с.) ;5;2019;None;автомат ;None;None;None;22656 км ;Luxury ;полный ;левый ;не битый ;1;None;None;None;None;2 995 000;X3 
None;BMW ;бежевый ;бензин ;F10/F11 (2009—2013) ;528i 2.0 xDrive AT (245 л.с.) ;4;2012;None;автомат ;None;None;None;116000 км ;Business ;полный ;левый ;не битый ;1;None;None;None;None;1 100 000;5 серия 
None;BMW ;бежевый ;бензин ;E70 (2006—2010) ;3.0si 3.0 AT (264 л.с.) ;5;2008;None;автомат ;None;None;None;196000 км ;Базовая ;полный ;левый ;не битый ;2;None;None;None;None;890 000;X5 
None;BMW ;синий ;бензин ;E71 рестайлинг (2012—2014) ;4.4 AT (555 л.с.) ;5;2013;None;автомат ;None;None;None;177000 км ;None;полный ;левый ;не битый ;2;None;None;None;None;1 590 000;X6 M 
None;BMW ;синий ;бензин ;E71 (2007—2012) ;35i 3.0 AT (306 л.с.) ;5;2012;None;автомат ;None;None;None;99824 км ;Базовая ;полный ;левый ;не битый ;1;None;None;None;None;1 400 000;X6 
None;BMW ;белый ;дизель ;F15 (2013—2018) ;25d 3.0 xDrive Steptronic (218 л.с.) ;5;2017;None;автомат ;None;None;None;99000 км ;Business ;полный ;левый ;не битый ;1;None;None;None;None;2 650 000;X5 
None;BMW ;серый ;бензин ;F10/F11 (2009—2013) ;528i 3.0 AT (258 л.с.) ;4;2011;None;автомат ;None;None;None;178000 км ;Luxury ;задний ;левый ;не битый ;3;None;None;None;None;950 000;5 серия 
None;BMW ;серый ;бензин ;G30/G31 (2016—н. в.) ;530i 2.0 xDrive Steptronic (249 л.с.) ;4;2017;None;автомат ;None;None;None;105000 км ;Luxury ;полный ;левый ;не битый ;1;None;None;None;None;2 500 000;5 серия 
None;BMW ;белый ;дизель ;F15 (2013—2018) ;25d 3.0 xDrive Steptronic (218 л.с.) ;5;2017;None;автомат ;None;None;None;37507 км ;Business ;полный ;левый ;не битый ;1;None;None;None;None;2 995 000;X5 
None;BMW ;зелёный ;бензин ;E39 (1995—2000) ;523i 2.5 AT (170 л.с.) ;4;1998;None;автомат ;None;None;None;431500 км ;None;задний ;левый ;не битый ;4+ ;None;None;None;None;275 000;5 серия 
None;BMW ;белый ;бензин ;F20/F21 (2011—2015) ;116i 1.6 AT (136 л.с.) ;5;2013;None;автомат ;None;None;None;84000 км ;None;задний ;левый ;не битый ;4+ ;None;None;None;None;499 000;1 серия 
None;BMW ;чёрный ;бензин ;F48 (2015—2019) ;18i 1.5 sDrive Steptronic (136 л.с.) ;5;2017;None;автомат ;None;None;None;100000 км ;None;передний ;левый ;не битый ;2;None;None;None;None;1 390 000;X1 
None;BMW ;чёрный ;бензин ;F30/F31 (2011—2015) ;320i 2.0 xDrive AT (184 л.с.) ;4;2014;None;автомат ;None;None;None;122400 км ;Sport ;полный ;левый ;не битый ;3;None;None;None;None;1 299 000;3 серия 
None;BMW ;чёрный ;дизель ;E65/E66 (2001—2005) ;730d 3.0 AT (218 л.с.) ;4;2003;None;автомат ;None;None;None;280000 км ;Базовая ;задний ;левый ;не битый ;4+ ;None;None;None;None;530 000;7 серия 
None;BMW ;коричневый ;дизель ;E84 рестайлинг (2012—2015) ;20d 2.0 xDrive AT (184 л.с.) ;5;2014;None;автомат ;None;None;None;65000 км ;None;полный ;левый ;не битый ;2;None;None;None;None;1 400 000;X1 
None;BMW ;чёрный ;дизель ;E70 (2006—2010) ;30d 3.0 AT (235 л.с.) ;5;2008;None;автомат ;None;None;None;270000 км ;Базовая ;полный ;левый ;не битый ;2;None;None;None;None;1 050 000;X5 
внедорожник ;BMW ;белый ;дизель ;G05 (2018—н. в.) ;30d 3.0 xDrive Steptronic (249 л.с.) ;5;2020;None;None;None;None;None;None;M Sport Pro ;полный ;левый ;None;None;None;None;None;None;6 390 000;X5 
None;BMW ;чёрный ;дизель ;F15 (2013—2018) ;40d 3.0 xDrive Steptronic (313 л.с.) ;5;2016;None;автомат ;None;None;None;40722 км ;Базовая ;полный ;левый ;битый ;1;None;None;None;None;2 070 000;X5 
None;BMW ;чёрный ;бензин ;F30/F31 (2011—2015) ;320i 2.0 xDrive AT (184 л.с.) ;4;2015;None;автомат ;None;None;None;110000 км ;Sport ;полный ;левый ;не битый ;2;None;None;None;None;1 320 000;3 серия 
None;BMW ;белый ;дизель ;F15 (2013—2018) ;40d 3.0 xDrive Steptronic (313 л.с.) ;5;2016;None;автомат ;None;None;None;77777 км ;M Sport Experience ;полный ;левый ;не битый ;2;None;None;None;None;3 285 000;X5 
